K,N,run,seed,converged,conv_sec,conv_rounds,committed_frac,avg_degree,msgs_per_bs,proposes,conflicts,dropped,interference,zero_interf,avg_mbps_served,jain
5,60,5,1000047,true,0.4405,8.810,1.0000,8.433,25.683,514,15,0,4.806096e-09,false,108.142,0.7869
5,60,6,1000048,true,0.4069,8.137,1.0000,9.533,28.867,572,16,0,6.051904e-09,false,88.349,0.6621
5,60,7,1000049,true,0.4054,8.109,1.0000,10.000,30.133,600,8,0,7.152213e-09,false,84.172,0.6221
5,60,8,1000050,true,0.4609,9.218,1.0000,9.800,29.950,602,19,0,7.274283e-09,false,81.145,0.6365
5,60,9,1000051,true,0.4958,9.916,1.0000,9.667,29.900,613,21,0,8.365656e-09,false,97.257,0.7135
5,60,10,1000052,true,0.4017,8.034,1.0000,8.867,26.800,532,12,0,7.671439e-09,false,104.940,0.7286
5,60,11,1000053,true,0.5002,10.005,1.0000,8.667,26.517,539,12,0,8.990848e-09,false,101.483,0.7374
5,60,12,1000054,true,0.4347,8.694,1.0000,9.133,27.867,561,15,0,6.157476e-09,false,97.927,0.7339
5,60,13,1000055,true,0.5818,11.636,1.0000,10.600,32.750,663,30,0,1.197521e-08,false,87.906,0.6312
5,60,14,1000056,true,0.4470,8.941,1.0000,9.733,29.717,597,18,0,8.230028e-09,false,85.246,0.6588
5,60,15,1000057,true,0.4470,8.940,1.0000,8.900,27.183,544,19,0,4.651683e-09,false,93.683,0.6934
5,60,16,1000058,true,0.5015,10.030,1.0000,8.100,24.567,493,9,0,5.443187e-09,false,97.340,0.6833
5,60,17,1000059,true,0.4637,9.275,1.0000,8.433,25.917,520,23,0,5.971808e-09,false,94.234,0.6853
5,60,18,1000060,true,0.4322,8.644,1.0000,8.167,24.717,497,6,0,6.069009e-09,false,103.308,0.7113
5,60,19,1000061,true,0.4595,9.189,1.0000,8.267,25.233,512,10,0,6.522117e-09,false,99.200,0.7048
5,60,20,1000062,true,0.4019,8.039,1.0000,9.300,28.217,558,19,0,7.452504e-09,false,95.305,0.7056
5,60,21,1000063,true,0.4068,8.137,1.0000,9.233,28.050,554,21,0,6.704051e-09,false,95.084,0.7218
5,60,22,1000064,true,0.4724,9.449,1.0000,9.933,30.517,623,16,0,8.312794e-09,false,87.258,0.6591
5,60,23,1000065,true,0.4569,9.138,1.0000,8.867,27.517,566,21,0,6.108761e-09,false,89.012,0.6675
5,60,24,1000066,true,0.4014,8.028,1.0000,8.733,26.450,524,15,0,8.014603e-09,false,96.555,0.7069
5,60,25,1000067,true,0.4126,8.253,1.0000,8.467,25.800,519,13,0,6.857650e-09,false,92.829,0.6613
5,60,26,1000068,true,0.4855,9.711,1.0000,9.867,30.067,605,15,0,7.576285e-09,false,81.563,0.6127
5,60,27,1000069,true,0.4693,9.386,1.0000,8.467,26.167,534,20,0,8.199885e-09,false,101.003,0.6979
5,60,28,1000070,true,0.4058,8.116,1.0000,10.467,31.667,628,16,0,1.099648e-08,false,86.574,0.6918
5,60,29,1000071,true,0.4103,8.207,1.0000,9.300,28.400,576,12,0,5.684216e-09,false,92.196,0.6471
5,80,0,1100042,true,0.4997,9.995,1.0000,14.125,43.462,1170,47,0,2.836347e-08,false,61.240,0.5274
5,80,1,1100043,true,0.4461,8.921,1.0000,13.000,39.712,1059,38,0,1.659484e-08,false,71.261,0.5906
5,80,2,1100044,true,0.4037,8.074,1.0000,12.025,36.625,962,44,0,2.306713e-08,false,48.984,0.4635
5,80,3,1100045,true,0.7936,15.873,1.0000,12.675,39.975,1116,54,0,3.336428e-08,false,54.458,0.5182
5,80,4,1100046,true,0.4380,8.760,1.0000,13.600,41.438,1102,37,0,2.939323e-08,false,53.235,0.4460
5,80,5,1100047,true,0.4048,8.096,1.0000,11.925,36.337,954,45,0,1.709116e-08,false,63.806,0.5610
5,80,6,1100048,true,0.4526,9.052,1.0000,13.275,40.562,1075,46,0,2.690049e-08,false,61.190,0.5449
5,80,7,1100049,true,0.4493,8.986,1.0000,13.025,40.000,1072,44,0,2.505322e-08,false,61.835,0.5296
5,80,8,1100050,true,0.4565,9.130,1.0000,12.875,39.800,1080,44,0,1.781546e-08,false,71.010,0.5567
5,80,9,1100051,true,0.4022,8.044,1.0000,11.500,34.750,920,20,0,1.434568e-08,false,67.876,0.5754
5,80,10,1100052,true,0.4282,8.564,1.0000,11.975,36.550,974,34,0,2.328233e-08,false,66.332,0.5894
5,80,11,1100053,true,0.4029,8.057,1.0000,13.475,40.962,1078,43,0,2.435004e-08,false,63.129,0.5425
5,80,12,1100054,true,0.3994,7.988,1.0000,12.125,36.875,970,40,0,1.676927e-08,false,57.914,0.5129
5,80,13,1100055,true,0.4060,8.119,1.0000,12.375,37.600,990,38,0,2.511587e-08,false,66.270,0.5561
5,80,14,1100056,true,0.4552,9.103,1.0000,12.625,39.425,1090,44,0,1.791649e-08,false,63.203,0.5451
5,80,15,1100057,true,0.5720,11.439,1.0000,12.625,38.888,1054,37,0,2.286096e-08,false,69.087,0.5799
5,80,16,1100058,true,0.5820,11.640,1.0000,12.875,39.900,1094,38,0,2.388017e-08,false,73.040,0.5864
5,80,17,1100059,true,0.4521,9.043,1.0000,11.375,34.712,930,27,0,1.840023e-08,false,64.952,0.5824
5,80,18,1100060,true,0.4685,9.369,1.0000,12.775,39.163,1049,40,0,1.862276e-08,false,59.316,0.5178
5,80,19,1100061,true,0.4071,8.141,1.0000,12.250,37.087,980,27,0,1.875670e-08,false,66.501,0.5939
5,80,20,1100062,false,2.0033,40.065,0.9750,11.825,43.500,1505,115,0,2.225092e-08,false,68.435,0.5857
5,80,21,1100063,true,0.4025,8.049,1.0000,11.400,34.500,912,24,0,1.662221e-08,false,69.069,0.5716
5,80,22,1100064,true,0.4007,8.013,1.0000,11.450,34.688,916,27,0,1.852934e-08,false,73.026,0.5555
5,80,23,1100065,true,0.4703,9.406,1.0000,12.325,37.587,1000,35,0,2.158987e-08,false,65.018,0.5869
5,80,24,1100066,true,0.4104,8.207,1.0000,13.575,41.388,1102,37,0,2.088894e-08,false,59.439,0.5238
5,80,25,1100067,true,0.4354,8.707,1.0000,11.650,35.400,942,26,0,1.446926e-08,false,71.664,0.6275
5,80,26,1100068,true,0.4371,8.743,1.0000,12.025,36.638,975,32,0,2.736211e-08,false,67.520,0.5651
5,80,27,1100069,true,0.4238,8.477,1.0000,13.675,41.875,1115,47,0,3.287644e-08,false,57.859,0.5005
5,80,28,1100070,true,0.4014,8.029,1.0000,11.950,36.188,956,27,0,1.599928e-08,false,76.633,0.6579
5,80,29,1100071,true,0.4014,8.029,1.0000,12.500,37.888,1000,31,0,1.795888e-08,false,67.720,0.5990
6,20,0,1200042,true,0.3997,7.993,1.0000,4.200,12.600,84,0,0,0.000000e+00,true,160.000,1.0000
